Module,Time,Vat,Cyt
6,2019-10-11 08:38:17.309345,1.073,64.0
6,2019-10-11 08:38:37.368585,1.053,9.0
6,2019-10-11 08:38:37.515878,0.916,10.0
6,2019-10-11 08:42:01.358761,0.755,204.0
6,2019-10-11 08:42:22.696991,0.756,16.0
6,2019-10-11 08:42:25.148445,1.273,7.0
6,2019-10-11 08:42:34.315390,2.444,9.0
6,2019-10-11 08:42:39.951659,1.628,5.0
6,2019-10-11 09:05:24.000801,1.173,72.0
6,2019-10-11 09:05:28.616056,1.31,4.0
6,2019-10-11 09:07:47.377238,0.596,138.0
6,2019-10-11 09:07:53.562287,1.093,6.0
6,2019-10-11 09:08:08.519752,0.636,14.0
6,2019-10-11 09:08:12.487329,0.676,3.0
6,2019-10-11 09:08:28.156527,1.095,15.0
6,2019-10-11 09:08:40.227151,0.892,12.0
6,2019-10-11 09:10:37.163579,0.635,116.0
6,2019-10-11 09:10:42.393202,0.714,5.0
6,2019-10-11 09:11:11.443624,0.595,29.0
6,2019-10-11 09:11:16.676889,0.954,5.0
6,2019-10-15 14:53:10.759005,1.826,20.0
6,2019-10-15 14:53:24.907737,1.213,14.0
6,2019-10-15 14:53:29.500612,0.815,4.0
6,2019-10-15 14:53:45.407981,0.7,15.0
6,2019-10-15 14:53:47.526519,0.655,2.0
6,2019-10-15 14:53:49.864810,0.914,2.0
6,2019-10-15 14:53:52.295029,0.617,2.0
6,2019-10-15 15:48:09.179488,0.954,9.0
6,2019-12-17 18:41:26.884463,0.715,105.0
6,2019-12-17 18:41:34.318958,0.495,7.0
6,2019-12-17 18:41:36.234219,0.596,1.0
6,2019-12-17 18:41:37.649091,0.557,1.0
6,2019-12-17 18:41:38.912469,0.617,1.0
6,2019-12-17 18:41:40.285138,0.558,1.0
6,2019-12-17 18:41:41.619752,0.597,1.0
6,2019-12-17 18:41:42.955996,0.596,1.0
6,2019-12-17 18:41:44.825874,0.537,1.0
6,2019-12-17 18:41:46.598627,0.596,1.0
6,2019-12-17 18:41:48.248623,0.554,1.0
6,2019-12-17 18:41:49.956652,0.575,1.0
6,2019-12-17 18:41:52.265235,0.575,2.0
6,2019-12-17 18:41:54.350237,0.556,2.0
6,2019-12-17 18:41:56.217947,0.536,1.0
